Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
Random Forest,Train,0,0.3124812297429122,0.10668125490582962,0.08524475658108358,526816878.2112372,100.30647474747482,34.2446828247713,27.363566862527822,23.996161123310934
Random Forest,Test,0,0.41863562778516056,0.17261056019332843,0.13879106355301524,60.095505755415765,134.38203651903655,55.40798982205843,44.551931400517894,39.947761873222554
Gaussian Process,Train,0,0.4953829961718985,0.16625529571973194,0.1350792630662121,1006492934.8774893,159.0179417711794,53.36794992603396,43.36044344425408,39.15548460574442
Gaussian Process,Test,0,0.4488856790623045,0.17247802332578718,0.1404184810806805,59.664547027619506,144.09230297899975,55.36544548757769,45.074332426898444,39.42143071413775
SVR,Train,0,0.49696791807006513,0.16696295712692286,0.13430515910568178,1028865348.9717988,159.52670170049092,53.59510923774224,43.11195607292385,38.2724821351325
SVR,Test,0,0.45887618692584475,0.17431388950973026,0.14026066697280362,57.61465560672656,147.29925600319618,55.954758532623416,45.023674098269964,38.30111085344543
KNN,Train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,0,0.4379316614667908,0.17341420734977744,0.13971364849259366,59.01932605457395,140.57606333083987,55.66596055927857,44.84808116612256,38.985803362103375
Random Forest,Train,1,0.33685596344918045,0.11108289809317062,0.08856027993935181,492938584.3372189,108.13076426718692,35.65761028790777,28.42784986053193,24.963676709334536
Random Forest,Test,1,0.41329239953539026,0.158776209398959,0.12835414675657833,51.22763889960875,132.66686025086028,50.96716321706583,41.20168110886165,33.61931451089346
Gaussian Process,Train,1,0.4767759593781151,0.1702847300636083,0.1395170235011217,1011690240.6062796,153.04508296037494,54.661398350418274,44.78496454386006,40.46204852294083
Gaussian Process,Test,1,0.38413649538469186,0.1492358424271593,0.11542708790500304,48.215369283653246,123.30781501848611,47.90470541911814,37.05209521750597,30.957797361561106
SVR,Train,1,0.4784398281312141,0.17241989895259702,0.13862622174907155,1034677707.6424307,153.57918483011971,55.34678756378365,44.499017181451975,39.05563607180448
SVR,Test,1,0.40640095101614293,0.15256785759219524,0.11907121819698387,47.92130502241795,130.4547052761819,48.974282287094674,38.22186104123183,31.11567618388942
KNN,Train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,1,0.42589605494254446,0.1727393266724839,0.13353901693039627,53.6156155070706,136.71263363655677,55.449323861867335,42.8660244346572,34.612851237254375
Random Forest,Train,2,0.30899034852305896,0.1052326062881309,0.08365485164902582,515314019.2011898,99.18590187590192,33.779666618490026,26.85320737933729,23.92103383399241
Random Forest,Test,2,0.46962136046715486,0.20181297547431815,0.16860266540477892,69.63250420623737,150.7484567099567,64.78196512725613,54.12145559493405,46.27948858163272
Gaussian Process,Train,2,0.4534562498986362,0.1623407424986234,0.13150967302629316,984956629.6642333,145.55945621746224,52.11137834205811,42.2146050414401,38.081340212614734
Gaussian Process,Test,2,0.42359929290974974,0.18596939087348927,0.15732772608692785,70.45393913726967,135.97537302402966,59.69617447039006,50.502200073903836,45.84042053198025
SVR,Train,2,0.49765236055124695,0.1641187005398644,0.13205208459563333,1008160995.5476172,159.7464077369503,52.68210287329648,42.3887191551983,37.70759448012547
SVR,Test,2,0.4570701765082882,0.1867171883826809,0.15627263131294758,68.85304372068178,146.71952665916052,59.936217470840575,50.16351465145619,45.17979271379643
KNN,Train,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,2,0.4018804070808102,0.19636330287242923,0.16382320973138836,69.16690137016907,129.00361067294006,63.03262022204979,52.58725032377567,45.76465113208455
Random Forest,Train,3,0.36881917234720973,0.11013167113854606,0.0867492025429941,390897626.5998688,118.39095432345434,35.35226643547329,27.846494016301104,24.273828996719597
Random Forest,Test,3,0.3982546020169028,0.17494956156743574,0.14328308440981957,56.61049285643524,127.8397272474258,56.15880926314688,45.993870095552076,35.27241230251475
Gaussian Process,Train,3,0.4929442152949215,0.16787167825928717,0.13619617255719077,973854868.0929763,158.2350931096698,53.88680872123118,43.71897139085824,39.89904792954459
Gaussian Process,Test,3,0.40459972510225417,0.16354029105081477,0.1332878267803057,54.772359626848164,129.87651175782358,52.496433427311544,42.78539239647814,32.15725097588519
SVR,Train,3,0.516858933488122,0.16855207983344586,0.13532663626130378,983135314.3374003,165.91171764968712,54.10521762653612,43.439850239878524,38.928241512792354
SVR,Test,3,0.4112585654795791,0.1662753888003653,0.13567257206305672,53.96684193633718,132.0139995189449,53.37439980491726,43.550895632241215,32.24007861295783
KNN,Train,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,3,0.4773393126564131,0.1740071990285226,0.1409656385036078,58.6954093014564,153.22591936270862,55.856310888155754,45.2499699596581,34.72485451424661
Random Forest,Train,4,0.3390656149838392,0.10861207016161402,0.08687804776492591,38.25394100562195,108.84006240981239,34.8644745218781,27.887853332541216,24.255798188549136
Random Forest,Test,4,0.5270361810653867,0.18622010465056268,0.15132515616906272,4582871974.943423,169.17861412198917,59.77665359283062,48.57537513026912,45.52351313310826
Gaussian Process,Train,4,0.476343075097816,0.1668823825404105,0.1360534499614096,61.954230754868554,152.90612710639894,53.56924479547177,43.673157437612495,38.85595823059905
Gaussian Process,Test,4,0.3697923095136819,0.17388777825931137,0.14101496398331373,5065648135.781805,118.70333135389191,55.81797682123896,45.26580343864371,43.41772550929808
SVR,Train,4,0.49698801228781964,0.1673800732449116,0.1352994885488784,59.08973780082095,159.5331519443901,53.72900351161663,43.431135824189965,37.72638838515146
SVR,Test,4,0.407299366407373,0.16930027007159454,0.13270753348905706,5257959782.715424,130.74309661676676,54.34538669298185,42.59911824998731,40.452986097774485
KNN,Train,4,0.4848130841121495,0.16630437581753982,0.13422918302391745,59.608482963252506,155.625,53.383704637430284,43.08756775067751,37.43472961828383
KNN,Test,4,0.5819704049844237,0.18956323547186227,0.1519385055263944,4928946416.143802,186.8125,60.8497985864678,48.772260273972606,42.819676559625755
Random Forest,Train,5,0.3162490828760755,0.10872572294065398,0.08648264949346296,616535264.822946,101.51595560322025,34.900957063949924,27.760930487401613,24.214538365810498
Random Forest,Test,5,0.4896154004787183,0.1731093630301492,0.14171206986379595,73.0438013717487,157.1665435536686,55.5681055326779,45.489574426278494,45.7973871642952
Gaussian Process,Train,5,0.4704384820081283,0.1636037150389239,0.13234955144590238,1022825504.8903987,151.0107527246092,52.51679252749458,42.48420601413467,37.55695879402725
Gaussian Process,Test,5,0.48334361757989375,0.1826528125673704,0.150832255518062,79.19399435521386,155.1533012431459,58.6315528341259,48.417154021297904,49.51102527773232
SVR,Train,5,0.4800727348350663,0.16488110026498923,0.1320753564213602,1040684521.2512943,154.10334788205628,52.92683318506154,42.39618941125662,36.923012273657164
SVR,Test,5,0.47121575764422924,0.1843040045580561,0.15147814562193523,77.5880239846824,151.26025820379758,59.16158546313601,48.624484744641215,48.99957146733788
KNN,Train,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,5,0.5129303292261919,0.1702825797019517,0.14046919799962626,71.70202723553443,164.65063568160758,54.660708084326494,45.09061255788003,44.9515649014902
